Player ID + Player Name,Id,Position_New,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Position,Mscore
59236-73875:Jose Martinez,59236-73875,OF,Jose,Jose Martinez,Martinez,5.147058824,34,2000,NYM@MIA,NYM,MIA,IL,Knee,,,0,OF/UTIL,OF,10
59236-73879:Pat Valaika,59236-73879,2B/SS,Pat,Pat Valaika,Valaika,3.491666794,24,2000,BAL@WSH,BAL,WSH,,,,,0,2B/SS/UTIL,2B,1
59236-102550:Luis Campusano,59236-102550,C,Luis,Luis Campusano,Campusano,2.227272727,11,2000,SEA@SD,SD,SEA,,,,,0,C/1B/UTIL,C/1B,9
59236-116888:Jaylin Davis,59236-116888,OF,Jaylin,Jaylin Davis,Davis,6.224999905,4,2000,LAD@SF,SF,LAD,IL,Kneecap,,,0,OF/UTIL,OF,9
59236-102577:Santiago Espinal,59236-102577,SS,Santiago,Santiago Espinal,Espinal,4.288888719,18,2000,TB@TOR,TOR,TB,,,,,0,SS/UTIL,SS,15
59236-39090:Erik Gonzalez,59236-39090,3B/SS,Erik,Erik Gonzalez,Gonzalez,5.879999924,40,2000,PIT@ATL,PIT,ATL,,,,,1,3B/SS/UTIL,3B,7
59236-104629:Jack Mayfield,59236-104629,SS,Jack,Jack Mayfield,Mayfield,0,3,2000,SEA@SD,SEA,SD,,,,,0,SS/UTIL,SS,9
59236-145590:Jason Vosler,59236-145590,3B,Jason,Jason Vosler,Vosler,3.887500048,8,2000,LAD@SF,SF,LAD,,,,,0,3B/UTIL,3B,9
59236-102584:Tres Barrera,59236-102584,C,Tres,Tres Barrera,Barrera,0,1,2000,BAL@WSH,WSH,BAL,,,,,0,C/1B/UTIL,C/1B,1
59236-102591:Jake Fraley,59236-102591,OF,Jake,Jake Fraley,Fraley,9.780000305,5,2000,SEA@SD,SEA,SD,IL,Hamstring,,,0,OF/UTIL,OF,9
59236-39125:Tomas Telis,59236-39125,C,Tomas,Tomas Telis,Telis,,,2000,MIN@CLE,MIN,CLE,,,,,0,C/1B/UTIL,C/1B,8
59236-149732:Hunter Owen,59236-149732,OF,Hunter,Hunter Owen,Owen,1,3,2000,PIT@ATL,PIT,ATL,,,,,0,OF/UTIL,OF,7
59236-116994:Donovan Walton,59236-116994,SS,Donovan,Donovan Walton,Walton,6.333333333,3,2000,SEA@SD,SEA,SD,,,,,0,SS/UTIL,SS,9
59236-12577:Jarrod Dyson,59236-12577,OF,Jarrod,Jarrod Dyson,Dyson,3.28,25,2000,DET@KC,KC,DET,,,,,0,OF/UTIL,OF,13
59236-12593:Eric Sogard,59236-12593,2B/3B,Eric,Eric Sogard,Sogard,4.116216299,37,2000,CHC@STL,CHC,STL,,,,,0,2B/3B/UTIL,2B,10
59236-110911:Robel Garcia,59236-110911,OF,Robel,Robel Garcia,Garcia,2.169230828,13,2000,HOU@TEX,HOU,TEX,,,,,0,OF/UTIL,OF,12
59236-53593:Patrick Kivlehan,59236-53593,OF,Patrick,Patrick Kivlehan,Kivlehan,5.720000076,5,2000,SEA@SD,SD,SEA,,,,,0,OF/UTIL,OF,9
59236-84405:John Andreoli,59236-84405,OF,John,John Andreoli,Andreoli,2.199999946,7,2000,SEA@SD,SD,SEA,,,,,0,OF/UTIL,OF,9
59236-84471:Nick Martini,59236-84471,OF,Nick,Nick Martini,Martini,2.116666635,6,2000,CHC@STL,CHC,STL,,,,,0,OF/UTIL,OF,10
59236-96764:Jonathan Davis,59236-96764,OF,Jonathan,Jonathan Davis,Davis,4.512500127,24,2000,TB@TOR,TOR,TB,,,,,0,OF/UTIL,OF,15
59236-145921:Ka'ai Tom,59236-145921,OF,Ka'ai,Ka'ai Tom,Tom,4.872000122,25,2000,PIT@ATL,PIT,ATL,DTD,Wrist,,,1,OF/UTIL,OF,7
59236-80457:Adam Engel,59236-80457,OF,Adam,Adam Engel,Engel,6.227777693,36,2000,CWS@NYY,CWS,NYY,IL,Hamstring,,,0,OF/UTIL,OF,10
59236-72264:Max Moroff,59236-72264,SS,Max,Max Moroff,Moroff,0,3,2000,CHC@STL,STL,CHC,,,,,0,SS/UTIL,SS,11
59236-119368:Ryan Jeffers,59236-119368,C,Ryan,Ryan Jeffers,Jeffers,3.645454407,11,2000,MIN@CLE,MIN,CLE,,,,,0,C/1B/UTIL,C/1B,8
59236-80459:Franchy Cordero,59236-80459,OF,Franchy,Franchy Cordero,Cordero,4.393750191,32,2000,BOS@PHI,BOS,PHI,,,,,0,OF/UTIL,OF,5
59236-150096:Ivan Castillo,59236-150096,2B,Ivan,Ivan Castillo,Castillo,3.166666667,3,2000,SEA@SD,SD,SEA,,,,,0,2B/UTIL,2B,9
59236-119401:Rafael Marchan,59236-119401,C,Rafael,Rafael Marchan,Marchan,1.5,2,2000,BOS@PHI,PHI,BOS,,,,,0,C/1B/UTIL,C/1B,10
59236-17012:Curt Casali,59236-17012,C,Curt,Curt Casali,Casali,4.113636364,22,2000,LAD@SF,SF,LAD,,,,,0,C/1B/UTIL,C/1B,9
59236-82551:Shed Long Jr.,59236-82551,2B,Shed,Shed Long Jr.,Long Jr.,6.544117647,34,2000,SEA@SD,SEA,SD,IL,Lower leg,,,0,2B/UTIL,2B,9
59236-135801:Jake Hager,59236-135801,1B,Jake,Jake Hager,Hager,0,4,2000,NYM@MIA,NYM,MIA,,,,,0,C/1B/UTIL,C/1B,10
59236-82556:Taylor Trammell,59236-82556,OF,Taylor,Taylor Trammell,Trammell,7.6259257,27,2000,SEA@SD,SEA,SD,,,,,0,OF/UTIL,OF,9
59236-17025:Joe Panik,59236-17025,2B/3B,Joe,Joe Panik,Panik,3.757894817,19,2000,TB@TOR,TOR,TB,IL,Calf,,,0,2B/3B/UTIL,2B,15
59236-70277:Kevan Smith,59236-70277,C,Kevan,Kevan Smith,Smith,3.133333206,3,2000,PIT@ATL,ATL,PIT,,,,,0,C/1B/UTIL,C/1B,12
59236-82585:Khalil Lee,59236-82585,OF,Khalil,Khalil Lee,Lee,0,3,2000,NYM@MIA,NYM,MIA,,,,,1,OF/UTIL,OF,10
59236-82593:Keibert Ruiz,59236-82593,C,Keibert,Keibert Ruiz,Ruiz,3.116666794,6,2000,LAD@SF,LAD,SF,,,,,0,C/1B/UTIL,C/1B,9
59236-82596:Jake Rogers,59236-82596,C,Jake,Jake Rogers,Rogers,6.940000153,5,2000,DET@KC,DET,KC,,,,,0,C/1B/UTIL,C/1B,12
59236-82605:Keston Hiura,59236-82605,1B/2B,Keston,Keston Hiura,Hiura,5.46538485,26,2000,MIL@CIN,MIL,CIN,,,,,0,C/1B/2B/UTIL,C/1B,13
59236-21165:Roberto Perez,59236-21165,C,Roberto,Roberto Perez,Perez,7.721052471,19,2000,MIN@CLE,CLE,MIN,IL,Finger,,,0,C/1B/UTIL,C/1B,12
59236-82606:Monte Harrison,59236-82606,OF,Monte,Monte Harrison,Harrison,1,3,2000,NYM@MIA,MIA,NYM,,,,,0,OF/UTIL,OF,10
59236-82612:Brent Rooker,59236-82612,OF,Brent,Brent Rooker,Rooker,4.275000095,8,2000,MIN@CLE,MIN,CLE,,,,,0,OF/UTIL,OF,8
59236-82617:Andres Gimenez,59236-82617,2B/SS,Andres,Andres Gimenez,Gimenez,5.534482759,29,2000,MIN@CLE,CLE,MIN,,,,,0,2B/SS/UTIL,2B,12
59236-82616:Luis Guillorme,59236-82616,SS,Luis,Luis Guillorme,Guillorme,2.814285823,14,2000,NYM@MIA,NYM,MIA,IL,Oblique,,,0,SS/UTIL,SS,10
59236-82626:Adam Haseley,59236-82626,OF,Adam,Adam Haseley,Haseley,2.377777735,9,2000,BOS@PHI,PHI,BOS,O,Personal,,,0,OF/UTIL,OF,10
59236-17096:Wilfredo Tovar,59236-17096,SS,Wilfredo,Wilfredo Tovar,Tovar,,,2000,NYM@MIA,NYM,MIA,,,,,0,SS/UTIL,SS,10
59236-82637:Evan White,59236-82637,1B,Evan,Evan White,White,4.903333537,30,2000,SEA@SD,SEA,SD,IL,Hip,,,0,C/1B/UTIL,C/1B,9
59236-13009:Austin Romine,59236-13009,C,Austin,Austin Romine,Romine,2.116666635,6,2000,CHC@STL,CHC,STL,IL,Wrist,,,0,C/1B/UTIL,C/1B,10
59236-17105:Sandy Leon,59236-17105,C,Sandy,Sandy Leon,Leon,3.345454476,22,2000,NYM@MIA,MIA,NYM,,,,,1,C/1B/UTIL,C/1B,10
59236-82644:Jesus Sanchez,59236-82644,OF,Jesus,Jesus Sanchez,Sanchez,2.820000076,10,2000,NYM@MIA,MIA,NYM,,,,,0,OF/UTIL,OF,10
59236-82646:Justin Williams,59236-82646,OF,Justin,Justin Williams,Williams,4.507500076,40,2000,CHC@STL,STL,CHC,,,,,1,OF/UTIL,OF,11
59236-82655:Danny Jansen,59236-82655,C,Danny,Danny Jansen,Jansen,4.81515133,33,2000,TB@TOR,TOR,TB,,,,,1,C/1B/UTIL,C/1B,15
59236-82659:Carter Kieboom,59236-82659,3B,Carter,Carter Kieboom,Kieboom,1.5,2,2000,BAL@WSH,WSH,BAL,,,,,0,3B/UTIL,3B,1
59236-82661:Daniel Johnson,59236-82661,OF,Daniel,Daniel Johnson,Johnson,0,2,2000,MIN@CLE,CLE,MIN,,,,,0,OF/UTIL,OF,12
59236-82660:Luis Garcia,59236-82660,2B,Luis,Luis Garcia,Garcia,1.533333302,6,2000,BAL@WSH,WSH,BAL,,,,,0,2B/UTIL,2B,1
59236-148210:Cody Wilson,59236-148210,OF,Cody,Cody Wilson,Wilson,0,1,2000,BAL@WSH,WSH,BAL,,,,,0,OF/UTIL,OF,1
