Player ID + Player Name,Id,Position_new,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Position,Mscore
59367-135276:Patrick Mazeika,59367-135276,C,Patrick,Patrick Mazeika,Mazeika,3.577777863,9,2000,COL@NYM,NYM,COL,,,,,,C/1B/UTIL,C/1B,9
59367-102513:Mario Feliciano,59367-102513,C,Mario,Mario Feliciano,Feliciano,6.199999809,1,2000,SD@MIL,MIL,SD,,,,,,C/1B/UTIL,C/1B,10
59367-135290:John Nogowski,59367-135290,1B,John,John Nogowski,Nogowski,1.026666641,15,2000,STL@CWS,STL,CWS,,,,,,C/1B/UTIL,C/1B,14
59367-135291:Jose Godoy,59367-135291,C,Jose,Jose Godoy,Godoy,4.75,2,2000,SEA@OAK,SEA,OAK,,,,,,C/1B/UTIL,C/1B,16
59367-135288:Alan Trejo,59367-135288,SS,Alan,Alan Trejo,Trejo,2.834782476,23,2000,COL@NYM,COL,NYM,IL,Finger,,,,SS/UTIL,SS,8
59367-135305:Tucupita Marcano,59367-135305,3B,Tucupita,Tucupita Marcano,Marcano,3.483333376,18,2000,SD@MIL,SD,MIL,,,,,,3B/UTIL,3B,12
59367-73875:Jose Martinez,59367-73875,OF,Jose,Jose Martinez,Martinez,5.147058824,34,2000,COL@NYM,NYM,COL,IL,Knee,,,,OF/UTIL,OF,9
59367-73879:Pat Valaika,59367-73879,2B/SS,Pat,Pat Valaika,Valaika,3.838461656,26,2000,BAL@MIN,BAL,MIN,,,,,,2B/SS/UTIL,2B,13
59367-102550:Luis Campusano,59367-102550,C,Luis,Luis Campusano,Campusano,2.227272727,11,2000,SD@MIL,SD,MIL,,,,,,C/1B/UTIL,C/1B,12
59367-102591:Jake Fraley,59367-102591,OF,Jake,Jake Fraley,Fraley,9.780000305,5,2000,SEA@OAK,SEA,OAK,IL,Hamstring,,,,OF/UTIL,OF,16
59367-39125:Tomas Telis,59367-39125,C,Tomas,Tomas Telis,Telis,,,2000,BAL@MIN,MIN,BAL,,,,,,C/1B/UTIL,C/1B,11
59367-60636:Derek Hill,59367-60636,OF,Derek,Derek Hill,Hill,0,2,2000,CLE@DET,DET,CLE,,,,,,OF/UTIL,OF,15
59367-83164:Jake Cave,59367-83164,OF,Jake,Jake Cave,Cave,4.148387294,31,2000,BAL@MIN,MIN,BAL,IL,Back,,,,OF/UTIL,OF,11
59367-83177:Grayson Greiner,59367-83177,C,Grayson,Grayson Greiner,Greiner,4.478571483,14,2000,CLE@DET,DET,CLE,IL,Hamstring,,,,C/1B/UTIL,C/1B,15
59367-5359:Elvis Andrus,59367-5359,SS,Elvis,Elvis Andrus,Andrus,4.306666734,45,2000,SEA@OAK,OAK,SEA,,,,,1,SS/UTIL,SS,14
59367-79093:Eloy Jimenez,59367-79093,OF,Eloy,Eloy Jimenez,Jimenez,11.26727295,55,2000,STL@CWS,CWS,STL,IL,Pectoral,,,,OF/UTIL,OF,12
59367-116994:Donovan Walton,59367-116994,SS,Donovan,Donovan Walton,Walton,4.666666667,6,2000,SEA@OAK,SEA,OAK,,,,,1,SS/UTIL,SS,16
59367-79112:Yu Chang,59367-79112,3B,Yu,Yu Chang,Chang,3.266666554,27,2000,CLE@DET,CLE,DET,,,,,,3B/UTIL,3B,14
59367-5390:Robinson Cano,59367-5390,2B,Robinson,Robinson Cano,Cano,9.951020533,49,2000,COL@NYM,NYM,COL,NA,Suspension,,,,2B/UTIL,2B,9
